Nome_csv,Squadra_csv,Ruolo,Media,ALG FCP,Punteggio FantaCalcioPedia,Solidità fantainvestimento,Resistenza infortuni,Ultimi Arrivi,In Crescita,Rischiosi,Fuoriclasse,Outsider,Titolari,Economici,Giovani,Infortunati,Buona Media,Goleador,Assistman,Rigorista,Sp. Piazzati,Presenze previste,Gol previsti,Assist previsti,MatchingKey,Id,R,RM,Nome_excel,Squadra_excel,Qt.A,Qt.I,Diff.,Qt.A M,Qt.I M,Diff.M,FVM,FVM M
abdulhamid,Roma,D,56.75,65,62,40,60,,,,,,,,,,,,,,,21/30,0/3,0/3,abdulhamid,6885.0,D,Dd;E,abdulhamid,Roma,5.0,5.0,0.0,5.0,5.0,0.0,12.0,12.0
abraham,Milan,A,61.75,70,77,60,40,,,,,,,,,,,Goleador,,,,11/20,4/7,4/7,abraham,2544.0,A,Pc,abraham,Milan,13.0,13.0,0.0,13.0,13.0,0.0,30.0,27.0
acerbi,Inter,D,66.75,70,77,60,60,,,,,,,,,,Buona Media,Goleador,,,,21/30,0/2,0/2,acerbi,513.0,D,Dc,acerbi,Inter,10.0,10.0,0.0,10.0,10.0,0.0,31.0,31.0
adams c.,Torino,A,62.75,79,72,40,60,,,,,Outsider,,,,,,Goleador,,,,21/30,8/11,3/5,adams,6646.0,A,A,adams c.,Torino,15.0,14.0,1.0,16.0,15.0,1.0,74.0,72.0
adli,Fiorentina,C,61.25,58,67,60,60,,,,,Outsider,,,,,Buona Media,,,,,21/30,0/3,3/5,adli,5875.0,C,M;C,adli,Fiorentina,6.0,5.0,1.0,6.0,6.0,0.0,13.0,17.0
adopo,Cagliari,C,51.75,42,65,40,60,,,,,Outsider,,,,,,Goleador,,,,21/30,0/3,0/2,adopo,4870.0,C,M;C,adopo,Cagliari,3.0,2.0,1.0,3.0,2.0,1.0,3.0,3.0
aebischer,Bologna,C,58.5,70,64,60,40,,,,,,,,,,Buona Media,,,,,11/20,0/3,0/3,aebischer,5784.0,C,C;T,aebischer,Bologna,10.0,10.0,0.0,10.0,10.0,0.0,20.0,20.0
akpa akpro,Lazio,C,55.0,58,62,40,60,,,,,,,,,,,,,,,0/10,0/3,0/3,akpa,5286.0,C,M;C,akpa akpro,Lazio,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0
alidou faride,Verona,C,56.75,62,65,40,60,,,,,,,,,,,Goleador,,,,11/20,3/5,0/3,alidou,6048.0,C,W,alidou,Verona,3.0,3.0,0.0,3.0,3.0,0.0,6.0,5.0
almqvist,Parma,A,55.25,59,62,40,60,,,,,,,,,,,,,,,11/20,3/5,3/5,almqvist,6207.0,A,W;A,almqvist,Parma,10.0,9.0,1.0,10.0,10.0,0.0,18.0,20.0
altare,Venezia,D,56.25,46,59,40,80,,,,,,,,,,,,,,,21/30,0/3,0/3,altare,5447.0,D,Dc,altare,Venezia,3.0,3.0,0.0,3.0,3.0,0.0,8.0,8.0
andersen magnus kofod,Venezia,C,51.25,48,57,40,60,,,,,,,,,,,,,,,11/20,0/3,0/3,andersen,6674.0,C,M;C,andersen m.k.,Venezia,4.0,2.0,2.0,4.0,2.0,2.0,13.0,13.0
angelino,Roma,D,57.75,66,65,40,60,,,,,,,,,,,,Assistman,,,21/30,0/1,3/5,angelino,4772.0,D,Ds;E,angelino,Roma,10.0,10.0,0.0,10.0,10.0,0.0,27.0,27.0
anguissa andre zambo,Napoli,C,66.0,74,70,60,60,,,,,,,,,,Buona Media,,,,,30+,0/3,0/3,anguissa,,,,,,,,,,,,,
anjorin,Empoli,C,46.5,48,58,20,60,,,,,,,,,,,,,,,0/10,0/3,0/3,anjorin,6889.0,C,W;T,anjorin,Empoli,2.0,2.0,0.0,2.0,2.0,0.0,4.0,4.0
ankeye,Genoa,A,44.25,37,60,20,60,,,,,,,,,,,Goleador,,,,0/10,0/3,0/3,ankeye,6565.0,A,Pc,ankeye,Genoa,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
arnautovic,Inter,A,64.75,70,89,40,60,,,,,,,,,,Buona Media,Goleador,,Rigorista,,11/20,4/7,0/3,arnautovic,4268.0,A,Pc,arnautovic,Inter,8.0,8.0,0.0,7.0,7.0,0.0,18.0,16.0
