Nome,Squadra,Ruolo,Media,ALG FCP,Punteggio FantaCalcioPedia,Solidità fantainvestimento,Resistenza infortuni,Ultimi Arrivi,In Crescita,Rischiosi,Fuoriclasse,Outsider,Titolari,Economici,Giovani,Infortunati,Buona Media,Goleador,Assistman,Rigorista,Sp. Piazzati,Presenze previste,Gol previsti,Assist previsti
Barella,Inter,C,84.25,97,80,80,80,,,,Fuoriclasse,,,,,,Buona Media,,,,,21/30,4/7,3/5
EDERSON DOS SANTOS,Atalanta,C,77.0,90,78,60,80,,,,,Outsider,,,,,Buona Media,Goleador,Assistman,,,30+,3/5,3/5
Calhanoglu,Inter,C,76.0,91,73,60,80,,,,,,,,,,Buona Media,Goleador,Assistman,,,21/30,4/7,4/7
POGBA PAUL,Juventus,C,75.25,70,91,80,60,,,,,,,,,,,Goleador,Assistman,,,30+,4/7,4/7
Zielinski,Inter,C,75.0,80,80,80,60,,,,,,,,,,Buona Media,Goleador,,,,30+,8/11,3/5
Pellegrini Lo.,Roma,C,72.5,86,84,60,60,,,,Fuoriclasse,,,,,,Buona Media,,Assistman,Rigorista,,21/30,4/7,8/11
Koopmeiners,Juventus,C,72.0,94,74,60,60,,,,,,,,,,Buona Media,,,,,21/30,4/7,4/7
Pasalic,Atalanta,C,71.25,89,76,60,60,,,,,,,,,,Buona Media,Goleador,,,,11/20,4/7,3/5
De Roon,Atalanta,C,71.0,70,74,60,80,,,,,,,,,,Buona Media,,,,,30+,0/3,3/5
LUIZ DOUGLAS,Juventus,C,69.5,81,77,60,60,,,,Fuoriclasse,,,,,,,Goleador,,,,21/30,4/7,4/7
Colpani,Fiorentina,C,69.0,82,74,60,60,,,,,Outsider,,,,,Buona Media,Goleador,,,,21/30,4/7,3/5
Kostic,Juventus,C,68.0,76,76,60,60,,,,,,,,,,,Goleador,Assistman,,,21/30,4/7,4/7
Locatelli,Juventus,C,67.75,78,73,60,60,,,,,,,,,,Buona Media,Goleador,,,,21/30,3/5,0/3
Reijnders,Milan,C,67.25,77,72,60,60,,,,,,,,,,Buona Media,,,,,21/30,0/3,0/3
McTominay,Napoli,C,67.25,72,77,60,60,,,,,Outsider,,,,,,Goleador,,,,21/30,4/7,4/7
Mkhitaryan,Inter,C,67.0,91,77,60,40,,,,Fuoriclasse,,,,,,Buona Media,Goleador,Assistman,,,21/30,4/7,4/7
Bennacer,Milan,C,67.0,74,74,60,60,,,,,,,,,,Buona Media,,,,,21/30,0/3,3/5
Fofana Y.,Milan,C,66.75,76,71,60,60,,,,,Outsider,,,,,Buona Media,Goleador,Assistman,,,21/30,3/5,3/5
McKennie,Juventus,C,66.75,74,73,60,60,,,,,,,,,,Buona Media,,,,,21/30,3/5,3/5
Guendouzi,Lazio,C,66.25,70,75,60,60,,,,,Outsider,,,,,,Goleador,Assistman,,,21/30,3/5,3/5
LOFTUS-CHEEK RUBEN,Milan,C,66.25,68,77,60,60,,,,,,,,,,Buona Media,,,,,0/10,0/3,3/5
Cristante,Roma,C,66.0,92,72,40,60,,,,,,,,,,Buona Media,,,,,21/30,0/3,0/3
ANGUISSA ANDRÈ ZAMBO,Napoli,C,66.0,74,70,60,60,,,,,,,,,,Buona Media,,,,,30+,0/3,0/3
Pessina,Monza,C,65.0,69,71,60,60,,,,,Outsider,,,,,Buona Media,,Assistman,,,21/30,3/5,3/5
Barak,Fiorentina,C,64.25,83,74,60,40,,,,,,,,,,Buona Media,Goleador,Assistman,Rigorista,,21/30,4/7,3/5
Frendrup,Genoa,C,64.0,70,66,60,60,,,,,,,,,,Buona Media,,,,,30+,0/3,0/2
Frattesi,Inter,C,63.75,83,72,40,60,,,,,,,,,,Buona Media,Goleador,,,,21/30,3/5,0/3
Lazovic,Verona,C,63.5,65,69,40,80,,,,,,,,,,Buona Media,,Assistman,,,21/30,3/5,3/5
BERNABE ADRIAN,Parma,C,63.25,68,65,60,60,,,,,Outsider,,,,,,Goleador,Assistman,,,30+,4/7,4/7
Musah,Milan,C,63.0,62,70,60,60,,,,,,,,,,Buona Media,,,,,11/20,0/3,0/2
Lovric,Udinese,C,62.75,67,64,60,60,,,,,,,,,,Buona Media,Goleador,,,,21/30,3/5,0/3
Tameze,Torino,C,62.75,67,64,40,80,,,,,,,,,,,,,,,21/30,0/3,0/2
Lobotka,Napoli,C,62.25,79,70,40,60,,,,Fuoriclasse,,,,,,Buona Media,,,,,21/30,0/3,0/3
Duda,Verona,C,62.25,66,63,40,80,,,,,,,,,,,,,Rigorista,,11/20,0/2,0/3
Serdar,Verona,C,62.25,59,70,60,60,,,,,,,,,,,Goleador,,,,21/30,3/5,3/5
Mandragora,Fiorentina,C,62.0,76,72,60,40,,,,,,,,,,Buona Media,,,,,11/20,0/3,0/3
Gilmour,Napoli,C,61.5,56,70,60,60,,,,,,,,,,Buona Media,,,,,11/20,0/2,0/2
ARTHUR MELO,Juventus,C,61.25,74,71,60,40,,,,,,,,,,,,Assistman,,,21/30,3/5,4/7
Linetty,Torino,C,61.25,71,74,40,60,,,,,,,,,,Buona Media,,,,,21/30,3/5,0/3
Sulemana I.,Atalanta,C,61.25,64,61,40,80,,,,,,,,,,,,,,,11/20,0/2,0/2
Adli,Fiorentina,C,61.25,58,67,60,60,,,,,Outsider,,,,,Buona Media,,,,,21/30,0/3,3/5
BASIC TOMA,Lazio,C,61.0,58,66,40,80,,,,,,,,,,,,,,,11/20,3/5,0/3
Vecino,Lazio,C,60.75,69,74,40,60,,,,,,,,,,Buona Media,,,,,21/30,3/5,0/3
GONZALEZ JOAN,Lecce,C,60.75,68,75,40,60,,,,,,,,,,,,,,,11/20,0/2,0/2
Zurkowski,Empoli,C,60.75,59,64,60,60,,,,,,,,,,,Goleador,,,,11/20,0/3,3/5
Samardzic,Atalanta,C,60.5,81,61,40,60,,,,,Outsider,,,,,Buona Media,,Assistman,,,11/20,3/5,3/5
Henderson L.,Empoli,C,60.5,60,62,40,80,,,,,,,,,,,,,,,11/20,0/2,0/2
Brescianini,Atalanta,C,60.0,76,64,40,60,,,,,Outsider,,,,,,Goleador,,,,11/20,3/5,3/5
Jankto,Cagliari,C,59.75,47,72,60,60,,,,,,,,,,Buona Media,,Assistman,,,21/30,3/5,4/7
Le Fee,Roma,C,59.5,70,68,60,40,,,,,Outsider,,,,,,Goleador,,,,21/30,3/5,3/5
KYRIAKOPOULOS GEORGIOS,Monza,C,59.25,72,65,40,60,,,,,,,,,,,,,,,11/20,0/1,0/2
