Nome,Squadra,Ruolo,Media,ALG FCP,Punteggio FantaCalcioPedia,Solidità fantainvestimento,Resistenza infortuni,Ultimi Arrivi,In Crescita,Rischiosi,Fuoriclasse,Outsider,Titolari,Economici,Giovani,Infortunati,Buona Media,Goleador,Assistman,Rigorista,Sp. Piazzati,Presenze previste,Gol previsti,Assist previsti
Di Lorenzo,Napoli,D,73.75,83,72,60,80,,,,Fuoriclasse,,,,,,Buona Media,Goleador,,,,21/30,3/5,3/5
Mancini,Roma,D,73.0,77,75,60,80,,,,,,,,,,Buona Media,,,,,21/30,0/3,0/2
Danilo,Juventus,D,73.0,73,79,80,60,,,,,,,,,,Buona Media,,,,,21/30,3/5,0/3
Hernandez T.,Milan,D,72.5,86,84,60,60,,,,Fuoriclasse,,,,,,Buona Media,Goleador,Assistman,Rigorista,,21/30,4/7,3/5
Bastoni,Inter,D,72.5,75,75,80,60,,,,,,,,,,Buona Media,,,,,21/30,0/3,0/3
Bellanova,Atalanta,D,72.5,74,76,60,80,,,,,Outsider,,,,,,,,,,21/30,3/5,4/7
Romagnoli,Lazio,D,71.75,68,79,80,60,,,,,,,,,,Buona Media,,,,,21/30,0/3,0/2
De Silvestri,Bologna,D,70.75,54,69,80,80,,,,,,,,,,,,Assistman,,,21/30,0/3,0/3
Lazzari,Lazio,D,70.5,68,74,60,80,,,,,,,,,,Buona Media,,Assistman,,,21/30,0/3,3/5
Dimarco,Inter,D,69.75,87,72,60,60,,,,,,,,,,Buona Media,Goleador,Assistman,,,21/30,3/5,3/5
Izzo,Monza,D,68.25,56,77,60,80,,,,,,,,,,Buona Media,,,,,21/30,0/3,0/3
Bremer,Juventus,D,68.0,83,69,60,60,,,,,,,,,,Buona Media,,,,,21/30,0/3,0/3
AUGUSTO CARLOS,Inter,D,67.75,86,65,60,60,,,,,,,,,,Buona Media,Goleador,Assistman,,,21/30,3/5,4/7
De Vrij,Inter,D,67.75,69,82,60,60,,,,,,,,,,,Goleador,,,,0/10,0/3,0/3
Cambiaso,Juventus,D,67.5,86,64,60,60,,,,,,,,,,Buona Media,,,,,21/30,0/3,0/2
Pavard,Inter,D,67.25,72,77,60,60,,,,Fuoriclasse,,,,,,,Goleador,,,,21/30,0/3,3/5
Dumfries,Inter,D,67.0,78,70,60,60,,,,,Outsider,,,,,Buona Media,,Assistman,,,21/30,3/5,4/7
Acerbi,Inter,D,66.75,70,77,60,60,,,,,,,,,,Buona Media,Goleador,,,,21/30,0/2,0/2
Biraghi,Fiorentina,D,66.25,73,72,60,60,,,,,,,,,,,,Assistman,Rigorista,,21/30,0/3,3/5
Olivera,Napoli,D,66.25,70,75,60,60,,,,,,,,,,,,Assistman,,,11/20,0,0
Gosens,Fiorentina,D,65.75,68,75,60,60,,,,,Outsider,,,,,,Goleador,Assistman,,,21/30,3/5,3/5
Calabria,Milan,D,65.5,66,76,60,60,,,,,,,,,,Buona Media,,,,,21/30,0/3,0/3
Zappacosta,Atalanta,D,65.0,72,68,60,60,,,,,,,,,,Buona Media,,Assistman,,,21/30,3/5,3/5
Posch,Bologna,D,64.75,70,69,60,60,,,,,,,,,,,,,,,11/20,3/5,3/5
Vasquez,Genoa,D,64.5,69,69,40,80,,,,,,,,,,,,,,,11/20,0/3,0/2
NDICKA EVAN,Roma,D,64.25,69,68,60,60,,,,,,,,,,Buona Media,,,,,21/30,0/3,0/2
Luperto,Cagliari,D,63.5,72,62,60,60,,,,,,,,,,Buona Media,,,,,21/30,0/3,0/3
Casale,Bologna,D,63.5,64,70,40,80,,,,,,,,,,,,,,,21/30,0/3,0/3
Martin,Genoa,D,63.5,64,70,60,60,,,,,,,,,,,Goleador,Assistman,,,21/30,3/5,3/5
Gabbia,Milan,D,63.25,70,63,60,60,,,,,,,,,,,,,,,11/20,0/3,0/1
Toloi,Atalanta,D,63.25,59,74,80,40,,,,,,,,,,Buona Media,,,,,21/30,0/3,0/1
Bisseck,Inter,D,63.0,57,75,60,60,,,,,Outsider,,,,,,Goleador,,,,30+,3/5,0/2
Marusic,Lazio,D,62.75,83,68,40,60,,,,,,,,,,,,Assistman,,,21/30,3/5,3/5
RUI MARIO,Napoli,D,62.75,56,75,60,60,,,,,,,,,,,,,,,21/30,0/2,0/3
Tomori,Milan,D,62.25,72,77,40,60,,,,,Outsider,,,,,Buona Media,,,,,21/30,0/2,0/2
FLORENZI ALESSANDRO,Milan,D,62.25,72,77,60,40,,,,,,,,,,Buona Media,,,,,11/20,0/3,0/3
Pellegrini Lu.,Lazio,D,62.0,58,70,60,60,,,,,,,,,,Buona Media,,,,,11/20,0/3,0/3
Darmian,Inter,D,61.5,77,69,40,60,,,,,,,,,,Buona Media,,Assistman,,,11/20,0/3,3/5
DEL PRATO ENRICO,Parma,D,61.5,63,63,60,60,,,,,Outsider,,,,,,,Assistman,,,30+,0/3,3/5
Coco,Torino,D,61.5,59,67,60,60,,,,,Outsider,,,,,Buona Media,,,,,21/30,0/3,0/2
Ranieri L.,Fiorentina,D,61.25,67,58,40,80,,,,,,,,,,Buona Media,,,,,21/30,0/2,0/1
Ehizibue,Udinese,D,61.0,63,61,60,60,,,,,Outsider,,,,,,,Assistman,,,11/20,0/2,3/5
Djimsiti,Atalanta,D,60.75,74,69,40,60,,,,,,,,,,Buona Media,,,,,21/30,0/3,0/3
MODESTO RUI,Udinese,D,60.75,59,64,60,60,,,,,Outsider,,,,,,,Assistman,,,21/30,3/5,3/5
ROYAL EMERSON,Milan,D,60.75,55,68,60,60,,,,,,,,,,,,,,,21/30,0/3,0/3
Lykogiannis,Bologna,D,60.75,53,70,60,60,,,,,,,,,,,,Assistman,,,21/30,3/5,0/3
Rrahmani,Napoli,D,60.5,74,68,40,60,,,,,,,,,,,,,,,21/30,0/3,0/1
Zanoli,Genoa,D,60.5,56,66,40,80,,,,,Outsider,,,,,,,Assistman,,,21/30,0/2,0/3
Gallo,Lecce,D,60.25,71,70,60,40,,,,,,,,,,,,,,,0/10,0,0
Buongiorno,Napoli,D,60.0,76,64,40,60,,,,,Outsider,,,,,,,,,,30+,0/2,0/2
Augello,Cagliari,D,60.0,73,67,40,60,,,,,,,,,,,,,,,11/20,0/3,0/3
Pongracic,Fiorentina,D,60.0,70,70,60,40,,,,,,,,,,,,,,,21/30,0/2,0/1
Zappa,Cagliari,D,59.5,70,68,40,60,,,,,,,,,,Buona Media,,Assistman,,,21/30,0/3,0/3
Candela,Venezia,D,59.5,53,65,60,60,,,,,,,,,,,,Assistman,,,30+,0/3,3/5
Martinez Quarta,Fiorentina,D,59.25,74,63,40,60,,,,,,,,,,,,,,,11/20,0/2,0/2
Pedersen,Torino,D,59.25,50,67,60,60,,,,,Outsider,,,,,Buona Media,,Assistman,,,21/30,0/3,0/3
Erlic,Bologna,D,59.0,69,67,40,60,,,,,,,,,,,,,,,21/30,0/2,0/1
Pavlovic,Milan,D,59.0,67,69,60,40,,,,,Outsider,,,,,Buona Media,Goleador,,,,21/30,0/3,0/3
Mazzocchi,Napoli,D,58.75,72,63,40,60,,,,,,,,,,,,Assistman,,,11/20,0/2,0/3
Lazaro,Torino,D,58.75,69,66,40,60,,,,,Outsider,,,,,,,,,,11/20,0/3,0/2
Ruggeri,Atalanta,D,58.5,73,61,40,60,,,,,Outsider,,,,,,,Assistman,,,11/20,0/3,3/5
Vojvoda,Torino,D,58.5,68,66,40,60,,,,,,,,,,Buona Media,,,,,21/30,0/2,0/2
Sosa B.,Torino,D,58.5,65,69,40,60,,,,,Outsider,,,,,,,Assistman,,,21/30,0/3,3/5
Birindelli,Monza,D,58.25,71,62,40,60,,,,,,,,,,,,,,,11/20,0/2,0/3
Hien,Atalanta,D,58.0,72,60,40,60,,,,,Outsider,,,,,Buona Media,,,,,21/30,0/2,0/2
Hysaj,Lazio,D,58.0,69,63,40,60,,,,,,,,,,,,,,,11/20,0/1,0/2
Mari',Monza,D,58.0,66,66,40,60,,,,,,,,,,,,,,,21/30,0/2,0/1
Kayode,Fiorentina,D,57.75,71,60,40,60,,,,,Outsider,,,,,,,,,,11/20,0/3,0/3
Angelino,Roma,D,57.75,66,65,40,60,,,,,,,,,,,,Assistman,,,21/30,0/1,3/5
Kamara H.,Udinese,D,57.75,65,66,40,60,,,,,,,,,,,,Assistman,,,21/30,0/3,3/5
Dodo',Fiorentina,D,57.75,64,67,40,60,,,,,,,,,,,,,,,11/20,0,3/5
CHATZIDIAKOS PANTELIS,Cagliari,D,57.75,47,64,60,60,,,,,,,,,,,,,,,21/30,0/3,3/5
Zortea,Cagliari,D,57.5,69,61,40,60,,,,,Outsider,,,,,,Goleador,,,,21/30,3/5,3/5
Parisi,Fiorentina,D,57.5,68,62,40,60,,,,,,,,,,Buona Media,,Assistman,,,21/30,0/3,3/5
Savona,Juventus,D,57.5,64,66,40,60,,,,,,,,,,,Goleador,,Rigorista,,21/30,3/5,0/3
Valeri,Parma,D,57.25,69,60,40,60,,,,,,,,,,,,Assistman,,,21/30,0/3,3/5
Celik,Roma,D,57.25,65,64,40,60,,,,,,,,,,Buona Media,,Assistman,,,21/30,0/2,0/3
