Nome,Squadra,Ruolo,Media,ALG FCP,Punteggio FantaCalcioPedia,Solidità fantainvestimento,Resistenza infortuni,Ultimi Arrivi,In Crescita,Rischiosi,Fuoriclasse,Outsider,Titolari,Economici,Giovani,Infortunati,Buona Media,Goleador,Assistman,Rigorista,Sp. Piazzati,Presenze previste,Gol previsti,Assist previsti
Meret,Napoli,P,72.25,77,72,80,60,,,,,,,,,,Buona Media,,,,,11/20,20/30,0
Di Gregorio,Juventus,P,70.75,85,78,60,60,,,,,Outsider,,,,,,,,,,21/30,20/30,0
Maignan,Milan,P,68.0,79,73,60,60,,,,Fuoriclasse,,,,,,Buona Media,,,,,21/30,20/30,0
Carnesecchi,Atalanta,P,68.0,77,75,60,60,,,,,,,,,,,,,,,21/30,30/40,0
Provedel,Lazio,P,67.75,73,78,60,60,,,,,,,,,,Buona Media,,,,,21/30,20/30,0
Milinkovic-Savic V.,Torino,P,67.25,85,64,60,60,,,,,,,,,,,,,Rigorista,,30+,30/40,0
Gollini,Genoa,P,67.0,56,72,60,80,,,,,Outsider,,,,,,,,,,0/10,0,0
Sommer,Inter,P,64.75,82,77,60,40,,,,,,,,,,,,,,,21/30,20/30,0
De Gea,Fiorentina,P,64.5,63,75,60,60,,,,Fuoriclasse,,,,,,,,,,,30+,0,0
Turati,Monza,P,63.5,67,67,40,80,,,,,,,,,,,,,,,30+,0,0
Skorupski,Bologna,P,62.75,81,70,40,60,,,,,,,,,,Buona Media,,,Rigorista,,30+,40/50,0
Martinez Jo.,Inter,P,61.75,82,65,40,60,,,,,,,,,,,,,,,0/10,0,0
MONTIPÒ LORENZO,Verona,P,61.5,82,64,40,60,,,,,,,,,,Buona Media,,,,,21/30,40/50,0
Svilar,Roma,P,61.0,72,52,60,60,,,,,Outsider,,,,,,,,,,11/20,8/11,0
RADU IONUT ANDREI,Inter,P,60.0,50,70,40,80,,,,,,,,,,Buona Media,,,,,0/10,0,0
Sportiello,Milan,P,59.75,53,66,40,80,,,,,,,,,,Buona Media,,,,,0/10,3/5,0
Caprile,Napoli,P,58.75,70,65,40,60,,,,,,,,,,,,,,,30+,0,0
Suzuki,Parma,P,58.25,52,61,60,60,,,,,,,,,,,,,,,21/30,0,0
Christensen O.,Fiorentina,P,56.5,41,65,60,60,,,,,,,,,,,,,,,21/30,40/50,0
Audero,Como,P,56.25,56,69,40,60,,,,,,,,,,,,,,,0/10,8/11,0
Perin,Juventus,P,56.0,51,73,40,60,,,,,,,,,,Buona Media,,,,,21/30,30/40,0
PATRICIO RUI,Atalanta,P,55.25,53,68,40,60,,,,,,,,,,,,,,,30+,30/40,0
Cragno,Monza,P,54.75,45,74,60,40,,,,,,,,,,Buona Media,,,,,0/10,0,0
Vasquez D.,Empoli,P,53.5,52,62,40,60,,,,,,,,,,,,,,,30+,40/50,0
Terracciano,Fiorentina,P,52.25,69,60,20,60,,,,,,,,,,,,,,,0/10,3/5,0
Joronen,Venezia,P,52.25,47,62,40,60,,,,,,,,,,,,,,,30+,0,0
Ryan,Roma,P,52.25,47,62,40,60,,,,,,,,,,,,,,,0/10,0,0
Stankovic F.,Venezia,P,51.75,49,58,40,60,,,,,,,,,,,,,,,30+,0,0
Scuffet,Cagliari,P,51.5,64,62,20,60,,,,,,,,,,,,,,,0/10,0,0
Sava,Udinese,P,51.25,43,62,40,60,,,,,,,,,,,,,,,0/10,8/11,0
Chichizola,Parma,P,50.75,41,62,40,60,,,,,,,,,,,,,,,21/30,0,0
Vigorito,Como,P,50.75,35,48,40,80,,,,,,,,,,,,,,,0/10,0,0
Sherri,Cagliari,P,50.0,42,58,40,60,,,,,,,,,,,,,,,0/10,0,0
Okoye,Udinese,P,49.75,66,53,40,40,,,,,Outsider,,,,,,,,,,0/10,8/11,0
Fruchtl,Lecce,P,49.5,39,59,40,60,,,,,,,,,,,,,,,0/10,0,0
Falcone,Lecce,P,48.75,70,45,20,60,,,,,,,,,,,,,,,0/10,8/11,0
Brancolini,Empoli,P,47.25,41,48,40,60,,,,,,,,,,,,,,,0/10,0,0
Pizzignacco,Monza,P,47.0,52,56,20,60,,,,,,,,,,,,,,,11/20,40/50,0
Mandas,Lazio,P,46.75,62,45,20,60,,,,,,,,,,,,,,,0/10,0,0
Furlanetto,Lazio,P,45.75,48,55,20,60,,,,,,,,,,,,,,,0/10,0,0
Rossi F.,Atalanta,P,45.25,39,42,20,80,,,,,,,,,,,,,,,0/10,0,0
Di Gennaro,Inter,P,44.0,50,46,20,60,,,,,,,,,,,,,,,0/10,0,0
Corvi,Parma,P,44.0,42,54,20,60,,,,,,,,,,,,,,,0/10,0,0
Bertinato,Venezia,P,43.75,40,55,20,60,,,,,,,,,,,,,,,0/10,0,0
Donnarumma An.,Torino,P,43.75,39,36,20,80,,,,,,,,,,,,,,,0/10,0/1,0/1
Padelli,Udinese,P,43.75,25,50,20,80,,,,,,,,,,,,,,,0/10,0,0
Torriani,Milan,P,43.5,47,47,20,60,,,,,,,,,,,,,,,0/10,0,0
Reina,Como,P,43.25,31,62,40,40,,,,,,,,,,,,,,,11/20,30/40,0
Martinelli T.,Fiorentina,P,43.0,44,48,20,60,,,,,,,,,,,,,,,0/10,0,0
Sommariva,Genoa,P,41.75,42,45,20,60,,,,,,,,,,,,,,,0/10,0,0
Ciocci,Cagliari,P,40.75,41,42,20,60,,,,,,,,,,,,,,,0/10,0,0
Leali,Genoa,P,40.5,30,52,20,60,,,,,,,,,,,,,,,0/10,0,0
BORBEI ALEXANDRU,Lecce,P,40.0,38,42,20,60,,,,,,,,,,,,,,,0/10,0,0
Pinsoglio,Juventus,P,39.75,35,44,20,60,,,,,,,,,,,,,,,0/10,0,0
Bagnolini,Bologna,P,39.5,30,48,20,60,,,,,,,,,,,,,,,0/10,0,0
Contini,Napoli,P,38.0,42,30,20,60,,,,,,,,,,,,,,,0/10,0,0
Perisan,Empoli,P,38.0,32,40,20,60,,,,,,,,,,,,,,,0/10,0,0
